skippedBeat, drNoTrigger, missingData, timestep (us), accelX, accelY
0, 0, 0, 7202816, 62509, 0
0, 0, 0, 7204830, 36047, 0
0, 0, 0, 7206842, 63046, 0
0, 0, 0, 7208854, 12585, 0
0, 0, 0, 7212876, 23300, 0
0, 0, 0, 7214888, 23988, 0
0, 0, 0, 7216900, 32632, 0
0, 0, 0, 7218912, 23000, 0
0, 0, 0, 7222934, 18536, 0
0, 0, 0, 7224946, 22183, 0
0, 0, 0, 7226958, 47103, 0
0, 0, 0, 7228970, 54335, 0
0, 0, 0, 7232992, 42283, 0
0, 0, 0, 7235004, 47857, 0
0, 0, 0, 7237016, 16892, 0
0, 0, 0, 7239029, 28633, 0
0, 0, 0, 7243050, 12154, 0
0, 0, 0, 7245062, 1942, 0
0, 0, 0, 7247075, 24073, 0
0, 0, 0, 7249087, 28716, 0
0, 0, 0, 7253108, 11429, 0
0, 0, 0, 7255120, 16727, 0
0, 0, 0, 7257133, 57204, 0
0, 0, 0, 7259145, 868, 0
0, 0, 0, 7263166, 15556, 0
0, 0, 0, 7265179, 24495, 0
0, 0, 0, 7267191, 45333, 0
0, 0, 0, 7269203, 34344, 0
0, 0, 0, 7273224, 49060, 0
0, 0, 0, 7275237, 20713, 0
0, 0, 0, 7277249, 5719, 0
0, 0, 0, 7279261, 12251, 0
0, 0, 0, 7283283, 25182, 0
0, 0, 0, 7285295, 20512, 0
0, 0, 0, 7287307, 21755, 0
0, 0, 0, 7289319, 49208, 0
0, 0, 0, 7291331, 54696, 0
0, 0, 0, 7295353, 78, 0
0, 0, 0, 7297365, 34726, 0
0, 0, 0, 7299377, 50964, 0
0, 0, 0, 7301394, 36243, 0
0, 0, 0, 7305416, 55077, 0
0, 0, 0, 7307429, 37974, 0
0, 0, 0, 7309467, 34340, 0
0, 0, 0, 7311479, 58948, 0
0, 0, 0, 7315501, 13023, 0
0, 0, 0, 7317513, 1369, 0
0, 0, 0, 7319525, 32141, 0
0, 0, 0, 7321538, 60739, 0
0, 0, 0, 7325559, 38779, 0
0, 0, 0, 7327571, 48062, 0
0, 0, 0, 7329583, 19344, 0
0, 0, 0, 7331597, 38678, 0
0, 0, 0, 7335619, 38281, 0
0, 0, 0, 7337631, 22685, 0
0, 0, 0, 7339643, 57470, 0
0, 0, 0, 7341655, 47991, 0
0, 0, 0, 7345677, 5830, 0
0, 0, 0, 7347689, 4911, 0
0, 0, 0, 7349701, 30502, 0
0, 0, 0, 7351713, 8856, 0
0, 0, 0, 7355735, 1672, 0
0, 0, 0, 7357747, 36341, 0
0, 0, 0, 7359759, 31156, 0
0, 0, 0, 7361771, 14896, 0
0, 0, 0, 7365793, 36308, 0
0, 0, 0, 7367805, 47412, 0
0, 0, 0, 7369817, 18589, 0
0, 0, 0, 7371829, 7226, 0
0, 0, 0, 7373841, 26637, 0
0, 0, 0, 7377863, 54799, 0
0, 0, 0, 7379875, 59069, 0
0, 0, 0, 7381887, 559, 0
0, 0, 0, 7383900, 60833, 0
0, 0, 0, 7387921, 12279, 0
0, 0, 0, 7389933, 8463, 0
0, 0, 0, 7391945, 37081, 0
0, 0, 0, 7393958, 37224, 0
0, 0, 0, 7397979, 58100, 0
0, 0, 0, 7399991, 729, 0
0, 0, 0, 7402008, 51516, 0
0, 0, 0, 7404020, 11176, 0
0, 0, 0, 7408043, 20789, 0
0, 0, 0, 7410055, 1765, 0
0, 0, 0, 7412068, 30095, 0
0, 0, 0, 7414080, 65066, 0
0, 0, 0, 7418117, 22989, 0
0, 0, 0, 7420129, 38082, 0
0, 0, 0, 7422141, 25664, 0
0, 0, 0, 7424153, 4033, 0
0, 0, 0, 7428175, 39631, 0
0, 0, 0, 7430187, 11346, 0
0, 0, 0, 7432199, 24945, 0
0, 0, 0, 7434211, 65130, 0
0, 0, 0, 7438233, 31346, 0
0, 0, 0, 7440245, 15145, 0
0, 0, 0, 7442257, 35, 0
0, 0, 0, 7444269, 40368, 0
0, 0, 0, 7448291, 23131, 0
0, 0, 0, 7450303, 42267, 0
0, 0, 0, 7452315, 45475, 0
0, 0, 0, 7454327, 34602, 0
0, 0, 0, 7456339, 32386, 0
0, 0, 0, 7460361, 38024, 0
0, 0, 0, 7462373, 23364, 0
0, 0, 0, 7464385, 52249, 0
0, 0, 0, 7466398, 11022, 0
0, 0, 0, 7470419, 22064, 0
0, 0, 0, 7472431, 29170, 0
0, 0, 0, 7474443, 21867, 0
0, 0, 0, 7476456, 27299, 0
0, 0, 0, 7480477, 55470, 0
0, 0, 0, 7482489, 12303, 0
0, 0, 0, 7484502, 35460, 0
0, 0, 0, 7486514, 32205, 0
0, 0, 0, 7490535, 32585, 0
0, 0, 0, 7492547, 46806, 0
0, 0, 0, 7494560, 57987, 0
0, 0, 0, 7496572, 7490, 0
0, 0, 0, 7500595, 19479, 0
0, 0, 0, 7502612, 65511, 0
0, 0, 0, 7504624, 8099, 0
0, 0, 0, 7506637, 32825, 0
0, 0, 0, 7510659, 3219, 0
0, 0, 0, 7512671, 32883, 0
0, 0, 0, 7514683, 43974, 0
0, 0, 0, 7516695, 20198, 0
0, 0, 0, 7520717, 7921, 0
0, 0, 0, 7522744, 1162, 0
0, 0, 0, 7524756, 43262, 0
0, 0, 0, 7526768, 44065, 0
0, 0, 0, 7530790, 9243, 0
0, 0, 0, 7532802, 49433, 0
0, 0, 0, 7534814, 35710, 0
0, 0, 0, 7536826, 63716, 0
0, 0, 0, 7538839, 27509, 0
0, 0, 0, 7542860, 15502, 0
0, 0, 0, 7544872, 64710, 0
0, 0, 0, 7546885, 38279, 0
0, 0, 0, 7548897, 8325, 0
0, 0, 0, 7552918, 48216, 0
0, 0, 0, 7554930, 21725, 0
0, 0, 0, 7556943, 12324, 0
0, 0, 0, 7558955, 8422, 0
0, 0, 0, 7562976, 20125, 0
0, 0, 0, 7564988, 24157, 0
0, 0, 0, 7567001, 12868, 0
0, 0, 0, 7569013, 24640, 0
0, 0, 0, 7573035, 42635, 0
0, 0, 0, 7575047, 36954, 0
0, 0, 0, 7577059, 61987, 0
0, 0, 0, 7579071, 47710, 0
0, 0, 0, 7583093, 23977, 0
0, 0, 0, 7585105, 24047, 0
0, 0, 0, 7587117, 53996, 0
0, 0, 0, 7589129, 65087, 0
0, 0, 0, 7593151, 14225, 0
0, 0, 0, 7595163, 6556, 0
0, 0, 0, 7597175, 43898, 0
0, 0, 0, 7599187, 43585, 0
0, 0, 0, 7603213, 57111, 0
0, 0, 0, 7605227, 56088, 0
0, 0, 0, 7607239, 22898, 0
0, 0, 0, 7609251, 44779, 0
0, 0, 0, 7613273, 50694, 0
0, 0, 0, 7615285, 31730, 0
0, 0, 0, 7617297, 24465, 0
0, 0, 0, 7619309, 25838, 0
0, 0, 0, 7621321, 4792, 0
0, 0, 0, 7625343, 31340, 0
0, 0, 0, 7627355, 59070, 0
0, 0, 0, 7629383, 39385, 0
0, 0, 0, 7631395, 31540, 0
0, 0, 0, 7635416, 15863, 0
0, 0, 0, 7637428, 21044, 0
0, 0, 0, 7639441, 61219, 0
0, 0, 0, 7641453, 58118, 0
0, 0, 0, 7645474, 60794, 0
0, 0, 0, 7647486, 15667, 0
0, 0, 0, 7649499, 7792, 0
0, 0, 0, 7651511, 17047, 0
0, 0, 0, 7655532, 55511, 0
0, 0, 0, 7657545, 58450, 0
0, 0, 0, 7659557, 50706, 0
0, 0, 0, 7661569, 45813, 0
0, 0, 0, 7665592, 13438, 0
0, 0, 0, 7667604, 29394, 0
0, 0, 0, 7669616, 65428, 0
0, 0, 0, 7671628, 17045, 0
0, 0, 0, 7675650, 56166, 0
0, 0, 0, 7677662, 65030, 0
0, 0, 0, 7679674, 57635, 0
0, 0, 0, 7681686, 62809, 0
0, 0, 0, 7685708, 33010, 0
0, 0, 0, 7687720, 17007, 0
0, 0, 0, 7689732, 30714, 0
0, 0, 0, 7691745, 61159, 0
0, 0, 0, 7695766, 46316, 0
0, 0, 0, 7697778, 57513, 0
0, 0, 0, 7699790, 28390, 0
1, 0, 0, 7748717, 22699, 0
0, 0, 0, 7750730, 38826, 0
0, 0, 0, 7752742, 22585, 0
0, 0, 0, 7754754, 14015, 0
0, 0, 0, 7756766, 8122, 0
0, 0, 0, 7760788, 55135, 0
0, 0, 0, 7762800, 38053, 0
0, 0, 0, 7764812, 51377, 0
0, 0, 0, 7766824, 55470, 0
0, 0, 0, 7768836, 33060, 0
0, 0, 0, 7772858, 23169, 0
0, 0, 0, 7774870, 14689, 0
0, 0, 0, 7776882, 2954, 0
0, 0, 0, 7778894, 19576, 0
0, 0, 0, 7782931, 22341, 0
0, 0, 0, 7784943, 59876, 0
0, 0, 0, 7786955, 9788, 0
0, 0, 0, 7788968, 65095, 0
0, 0, 0, 7792989, 11384, 0
0, 0, 0, 7795002, 58937, 0
0, 0, 0, 7797014, 35911, 0
0, 0, 0, 7799026, 31943, 0
0, 0, 0, 7803051, 30109, 0
0, 0, 0, 7805064, 33241, 0
0, 0, 0, 7807076, 35914, 0
0, 0, 0, 7809088, 38831, 0
0, 0, 0, 7813110, 64865, 0
0, 0, 0, 7815122, 45079, 0
0, 0, 0, 7817134, 47931, 0
0, 0, 0, 7819146, 50109, 0
0, 0, 0, 7823168, 57962, 0
0, 0, 0, 7825180, 30965, 0
0, 0, 0, 7827192, 51152, 0
0, 0, 0, 7829204, 13636, 0
0, 0, 0, 7833226, 9051, 0
0, 0, 0, 7835238, 59793, 0
0, 0, 0, 7837250, 43469, 0
0, 0, 0, 7839262, 32607, 0
0, 0, 0, 7843284, 36213, 0
0, 0, 0, 7845296, 31583, 0
0, 0, 0, 7847308, 12097, 0
0, 0, 0, 7849320, 64440, 0
0, 0, 0, 7851333, 34261, 0
0, 0, 0, 7855354, 17464, 0
0, 0, 0, 7857366, 53255, 0
0, 0, 0, 7859378, 38398, 0
0, 0, 0, 7861391, 5080, 0
0, 0, 0, 7865412, 52570, 0
0, 0, 0, 7867424, 1201, 0
0, 0, 0, 7869437, 46383, 0
0, 0, 0, 7871449, 30790, 0
0, 0, 0, 7875470, 50620, 0
0, 0, 0, 7877482, 46222, 0
0, 0, 0, 7879495, 61493, 0
0, 0, 0, 7881507, 51498, 0
0, 0, 0, 7885528, 22328, 0
0, 0, 0, 7887556, 58572, 0
0, 0, 0, 7889568, 18986, 0
0, 0, 0, 7891580, 23215, 0
0, 0, 0, 7895603, 49839, 0
0, 0, 0, 7897615, 21602, 0
0, 0, 0, 7899627, 8463, 0
0, 0, 0, 7901643, 23174, 0
0, 0, 0, 7905665, 30837, 0
0, 0, 0, 7907677, 62293, 0
0, 0, 0, 7909689, 51060, 0
0, 0, 0, 7911701, 8732, 0
0, 0, 0, 7915723, 44144, 0
0, 0, 0, 7917735, 60323, 0
0, 0, 0, 7919747, 27145, 0
0, 0, 0, 7921759, 25827, 0
0, 0, 0, 7925781, 52063, 0
0, 0, 0, 7927793, 44222, 0
0, 0, 0, 7929805, 7603, 0
0, 0, 0, 7931817, 4116, 0
0, 0, 0, 7933830, 13690, 0
0, 0, 0, 7937851, 62247, 0
0, 0, 0, 7939863, 29784, 0
0, 0, 0, 7941875, 18727, 0
0, 0, 0, 7943888, 37995, 0
0, 0, 0, 7947909, 8976, 0
0, 0, 0, 7949921, 11992, 0
0, 0, 0, 7951933, 23729, 0
0, 0, 0, 7953946, 32016, 0
0, 0, 0, 7957967, 29082, 0
0, 0, 0, 7959979, 31918, 0
0, 0, 0, 7961992, 20741, 0
0, 0, 0, 7964004, 8712, 0
0, 0, 0, 7968026, 58168, 0
0, 0, 0, 7970038, 56708, 0
0, 0, 0, 7972050, 27606, 0
0, 0, 0, 7974062, 39178, 0
0, 0, 0, 7978084, 8583, 0
0, 0, 0, 7980096, 19029, 0
0, 0, 0, 7982108, 55418, 0
0, 0, 0, 7984120, 58275, 0
0, 0, 0, 7988142, 52853, 0
0, 0, 0, 7990154, 43573, 0
0, 0, 0, 7992166, 21183, 0
0, 0, 0, 7994193, 62014, 0
0, 0, 0, 7998215, 26737, 0
0, 0, 0, 8000227, 7788, 0
0, 0, 0, 8002243, 43140, 0
0, 0, 0, 8004255, 30759, 0
0, 0, 0, 8008277, 55927, 0
0, 0, 0, 8010289, 63937, 0
0, 0, 0, 8012301, 63441, 0
0, 0, 0, 8014314, 32194, 0
0, 0, 0, 8016326, 44512, 0
0, 0, 0, 8020347, 54166, 0
0, 0, 0, 8022359, 101, 0
0, 0, 0, 8024372, 26144, 0
0, 0, 0, 8026384, 59748, 0
0, 0, 0, 8030405, 26733, 0
0, 0, 0, 8032418, 62324, 0
0, 0, 0, 8034430, 60167, 0
0, 0, 0, 8036442, 19467, 0
0, 0, 0, 8040463, 43613, 0
0, 0, 0, 8042476, 62343, 0
0, 0, 0, 8044488, 39264, 0
0, 0, 0, 8046500, 49630, 0
0, 0, 0, 8050522, 36023, 0
0, 0, 0, 8052534, 36189, 0
0, 0, 0, 8054546, 25739, 0
0, 0, 0, 8056558, 5764, 0
0, 0, 0, 8060580, 47670, 0
0, 0, 0, 8062593, 49888, 0
0, 0, 0, 8064605, 9147, 0
0, 0, 0, 8066617, 40383, 0
0, 0, 0, 8070639, 17559, 0
0, 0, 0, 8072651, 48773, 0
0, 0, 0, 8074663, 32418, 0
0, 0, 0, 8076676, 19978, 0
0, 0, 0, 8080697, 45761, 0
0, 0, 0, 8082709, 45402, 0
0, 0, 0, 8084722, 6216, 0
0, 0, 0, 8086734, 52508, 0
0, 0, 0, 8090755, 6089, 0
0, 0, 0, 8092767, 1221, 0
0, 0, 0, 8094780, 25993, 0
0, 0, 0, 8096792, 52073, 0
0, 0, 0, 8098804, 34002, 0
0, 0, 0, 8102845, 33706, 0
0, 0, 0, 8104857, 43570, 0
0, 0, 0, 8106869, 35279, 0
0, 0, 0, 8108881, 24945, 0
0, 0, 0, 8112903, 4552, 0
0, 0, 0, 8114915, 18903, 0
0, 0, 0, 8116927, 13844, 0
0, 0, 0, 8118939, 44625, 0
0, 0, 0, 8122961, 25762, 0
0, 0, 0, 8124973, 518, 0
0, 0, 0, 8126985, 20109, 0
0, 0, 0, 8128997, 54045, 0
0, 0, 0, 8133019, 62413, 0
0, 0, 0, 8135031, 28653, 0
0, 0, 0, 8137044, 15817, 0
0, 0, 0, 8139056, 16378, 0
0, 0, 0, 8143077, 18377, 0
0, 0, 0, 8145089, 32280, 0
0, 0, 0, 8147102, 54103, 0
0, 0, 0, 8149114, 31493, 0
0, 0, 0, 8153135, 17255, 0
0, 0, 0, 8155147, 9469, 0
0, 0, 0, 8157160, 2441, 0
0, 0, 0, 8159172, 18324, 0
0, 0, 0, 8163193, 7402, 0
0, 0, 0, 8165206, 19539, 0
0, 0, 0, 8167218, 14269, 0
0, 0, 0, 8169230, 50943, 0
0, 0, 0, 8173251, 9796, 0
0, 0, 0, 8175264, 12764, 0
0, 0, 0, 8177276, 24741, 0
0, 0, 0, 8179288, 5408, 0
0, 0, 0, 8181300, 14293, 0
0, 0, 0, 8185322, 32163, 0
0, 0, 0, 8187334, 57932, 0
0, 0, 0, 8189346, 1422, 0
0, 0, 0, 8191358, 37780, 0
0, 0, 0, 8195380, 12691, 0
0, 0, 0, 8197392, 32161, 0
0, 0, 0, 8199404, 54564, 0
0, 0, 0, 8201420, 14452, 0
0, 0, 0, 8205442, 56525, 0
0, 0, 0, 8207469, 13082, 0
0, 0, 0, 8209481, 42500, 0
0, 0, 0, 8211494, 15267, 0
0, 0, 0, 8215515, 30591, 0
0, 0, 0, 8217527, 64833, 0
0, 0, 0, 8219540, 13823, 0
0, 0, 0, 8221552, 32786, 0
0, 0, 0, 8225573, 62543, 0
0, 0, 0, 8227587, 22082, 0
0, 0, 0, 8229599, 61592, 0
0, 0, 0, 8231611, 49355, 0
0, 0, 0, 8235633, 61043, 0
0, 0, 0, 8237645, 63222, 0
